"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 09, 2020","12.33","11.72","12.45","11.69","29.00K","5.26%"
"Sep 08, 2020","11.71","12.46","12.46","11.64","22.77K","-6.02%"
"Sep 07, 2020","12.46","12.77","13.01","11.43","36.23K","-2.38%"
"Sep 06, 2020","12.77","10.59","12.77","10.37","64.94K","20.52%"
"Sep 05, 2020","10.59","12.47","12.62","10.59","93.48K","-15.03%"
"Sep 04, 2020","12.47","11.89","12.75","11.89","59.68K","4.82%"
"Sep 03, 2020","11.89","14.76","14.76","11.89","57.71K","-19.43%"
"Sep 02, 2020","14.76","16.11","16.11","14.52","30.99K","-8.08%"
"Sep 01, 2020","16.06","15.60","16.15","15.60","40.87K","2.95%"
"Aug 31, 2020","15.60","16.44","16.67","15.60","30.93K","-5.13%"
"Aug 30, 2020","16.44","16.40","17.60","16.40","44.89K","0.24%"
"Aug 29, 2020","16.40","15.17","16.76","15.17","50.31K","8.13%"
"Aug 28, 2020","15.17","14.47","15.23","14.47","23.31K","4.80%"
"Aug 27, 2020","14.47","15.22","15.33","14.38","28.33K","-4.91%"
"Aug 26, 2020","15.22","14.11","15.33","14.11","29.51K","7.87%"
"Aug 25, 2020","14.11","15.16","15.16","14.11","39.51K","-6.90%"
"Aug 24, 2020","15.16","15.17","15.50","15.11","24.57K","0.47%"
"Aug 23, 2020","15.08","15.84","15.84","14.79","23.76K","-4.74%"
"Aug 22, 2020","15.84","13.78","16.14","13.78","96.98K","14.91%"
"Aug 21, 2020","13.78","16.09","16.09","13.69","100.95K","-14.34%"
"Aug 20, 2020","16.09","16.20","16.63","15.79","29.29K","-0.31%"
"Aug 19, 2020","16.14","16.17","16.91","15.40","73.29K","-0.19%"
"Aug 18, 2020","16.17","16.68","16.92","16.17","108.95K","-3.84%"
"Aug 17, 2020","16.81","18.76","19.16","16.33","64.61K","-10.38%"
"Aug 16, 2020","18.76","19.14","19.36","18.76","40.03K","-1.97%"
"Aug 15, 2020","19.14","16.90","19.63","16.64","72.87K","13.23%"
"Aug 14, 2020","16.90","17.17","17.34","16.83","38.66K","-1.53%"
"Aug 13, 2020","17.17","16.47","17.96","16.43","139.85K","4.20%"
"Aug 12, 2020","16.47","12.98","16.47","12.88","141.33K","26.31%"
"Aug 11, 2020","13.04","13.48","13.48","12.75","59.90K","-3.26%"
"Aug 10, 2020","13.48","13.85","13.85","13.18","64.37K","-2.66%"
"Aug 09, 2020","13.85","12.71","13.90","12.38","133.02K","8.93%"
"Aug 08, 2020","12.71","10.10","13.25","10.00","80.71K","25.88%"
"Aug 07, 2020","10.10","10.22","10.22","9.43","21.99K","-0.84%"
"Aug 06, 2020","10.19","9.55","10.19","9.55","15.64K","6.63%"
"Aug 05, 2020","9.55","9.85","9.85","9.52","18.24K","-3.06%"
"Aug 04, 2020","9.85","9.22","9.85","9.22","48.70K","7.69%"
"Aug 03, 2020","9.15","8.29","9.15","8.29","16.41K","10.43%"
"Aug 02, 2020","8.29","8.33","8.54","7.57","56.76K","-0.54%"
"Aug 01, 2020","8.33","7.75","8.33","7.75","14.67K","7.54%"
"Jul 31, 2020","7.75","7.43","7.76","7.43","16.49K","4.26%"
"Jul 30, 2020","7.43","7.06","7.43","7.06","21.19K","5.69%"
"Jul 29, 2020","7.03","7.21","7.38","7.03","9.67K","-2.56%"
"Jul 28, 2020","7.21","7.05","7.21","6.99","12.55K","2.32%"
"Jul 27, 2020","7.05","7.50","7.50","6.72","36.48K","-5.94%"
"Jul 26, 2020","7.50","7.66","7.85","7.41","22.44K","-2.09%"
"Jul 25, 2020","7.66","7.44","7.69","7.44","19.33K","2.96%"
"Jul 24, 2020","7.44","7.87","7.87","7.44","7.24K","-5.51%"
"Jul 23, 2020","7.87","7.47","7.90","7.47","14.25K","5.37%"
"Jul 22, 2020","7.47","7.31","7.50","7.17","27.74K","2.24%"
"Jul 21, 2020","7.31","7.23","7.53","7.16","33.81K","1.09%"
"Jul 20, 2020","7.23","8.06","8.09","7.23","23.82K","-10.38%"
"Jul 19, 2020","8.06","7.97","8.06","7.85","7.54K","1.18%"
"Jul 18, 2020","7.97","8.27","8.27","7.88","42.85K","-3.57%"
"Jul 17, 2020","8.27","8.35","8.53","8.27","21.85K","-0.96%"
"Jul 16, 2020","8.35","8.66","8.70","8.20","43.27K","-3.64%"
"Jul 15, 2020","8.66","8.11","8.66","7.96","48.38K","6.62%"
"Jul 14, 2020","8.12","7.16","8.22","7.14","43.43K","13.49%"
"Jul 13, 2020","7.16","7.36","7.90","7.09","93.74K","-2.81%"
"Jul 12, 2020","7.36","6.12","7.36","6.12","47.30K","20.28%"
"Jul 11, 2020","6.12","6.15","6.19","6.01","8.55K","-0.44%"
"Jul 10, 2020","6.15","6.08","6.15","5.84","11.62K","1.14%"
"Jul 09, 2020","6.08","6.48","6.48","6.01","22.40K","-6.20%"
"Jul 08, 2020","6.48","5.72","6.48","5.72","33.32K","13.34%"
"Jul 07, 2020","5.72","5.38","5.75","5.38","29.78K","6.36%"
"Jul 06, 2020","5.38","4.75","5.38","4.75","34.63K","13.32%"
"Jul 05, 2020","4.75","4.79","4.82","4.67","14.44K","-0.94%"
"Jul 04, 2020","4.79","4.73","4.83","4.73","4.54K","1.28%"
"Jul 03, 2020","4.73","4.79","4.89","4.73","8.38K","-1.24%"
"Jul 02, 2020","4.79","4.70","4.91","4.62","19.59K","1.91%"
"Jul 01, 2020","4.70","4.58","4.72","4.54","8.72K","2.67%"
"Jun 30, 2020","4.58","4.60","4.64","4.55","4.81K","-0.52%"
"Jun 29, 2020","4.60","4.55","4.64","4.45","8.77K","1.04%"
"Jun 28, 2020","4.55","4.42","4.62","4.35","17.99K","2.95%"
"Jun 27, 2020","4.42","4.69","4.69","4.30","9.16K","-5.68%"
"Jun 26, 2020","4.69","4.81","4.83","4.64","7.60K","-2.58%"
